"browser","machine","framework","operatingSystem","name","mimeType","losslessAverage","normalAverage","lowQualityAverage"
"chrome","Acer Aspire M5-581(G)","astro","ubuntu","sample_5184×3456","JPEG","177.10000000009313","18.075000000651926","13.599999999627471"
"chrome","Acer Aspire M5-581(G)","astro","ubuntu","sample_1920%C3%971280","JPEG","110.02500000083819","12.474999998696148","26.950000000186265"
"chrome","Acer Aspire M5-581(G)","astro","ubuntu","sample_5184×3456","WebP","87.97499999962747","92.39999999990687","25.274999999906868"
"chrome","Acer Aspire M5-581(G)","astro","ubuntu","sample_1920%C3%971280","WebP","24.02500000037253","27.325000001117587","14.249999999068677"
"firefox","Acer Aspire M5-581(G)","astro","ubuntu","sample_5184×3456","JPEG","15.75","21.25","18.25"
"firefox","Acer Aspire M5-581(G)","astro","ubuntu","sample_1920%C3%971280","JPEG","28","16","16.25"
"firefox","Acer Aspire M5-581(G)","astro","ubuntu","sample_5184×3456","WebP","19","20","17.75"
"firefox","Acer Aspire M5-581(G)","astro","ubuntu","sample_1920%C3%971280","WebP","16.75","10","14.5"
"chrome","Acer Aspire M5-581(G)","gatsby","ubuntu","sample_5184×3456","JPEG","29.375","11.899999999674037","17.12500000023283"
"chrome","Acer Aspire M5-581(G)","gatsby","ubuntu","sample_1920%C3%971280","JPEG","null","12.600000000093132","16.774999999906868"
"chrome","Acer Aspire M5-581(G)","gatsby","ubuntu","sample_5184×3456","WebP","11.575000000186265","11.600000000325963","11.074999999953434"
"chrome","Acer Aspire M5-581(G)","gatsby","ubuntu","sample_1920%C3%971280","WebP","13.900000000139698","13.75000000023283","12.125"
"firefox","Acer Aspire M5-581(G)","gatsby","ubuntu","sample_5184×3456","JPEG","26.75","11","12.75"
"firefox","Acer Aspire M5-581(G)","gatsby","ubuntu","sample_1920%C3%971280","JPEG","null","11.25","11.5"
"firefox","Acer Aspire M5-581(G)","gatsby","ubuntu","sample_5184×3456","WebP","15","11.25","9.5"
"firefox","Acer Aspire M5-581(G)","gatsby","ubuntu","sample_1920%C3%971280","WebP","11","8.25","6.5"
"chrome","Acer Aspire M5-581(G)","next","ubuntu","sample_5184×3456","JPEG","59.675000000046566","18.5999999998603","14.75000000023283"
"chrome","Acer Aspire M5-581(G)","next","ubuntu","sample_1920%C3%971280","JPEG","71.62499999976717","13.324999999953434","12.700000000419095"
"chrome","Acer Aspire M5-581(G)","next","ubuntu","sample_5184×3456","WebP","94.97500000032596","98.02499999990687","14.599999999627471"
"chrome","Acer Aspire M5-581(G)","next","ubuntu","sample_1920%C3%971280","WebP","22.024999999906868","26.15000000060536","13.949999999953434"
"firefox","Acer Aspire M5-581(G)","next","ubuntu","sample_5184×3456","JPEG","60.25","10.75","12.5"
"firefox","Acer Aspire M5-581(G)","next","ubuntu","sample_1920%C3%971280","JPEG","null","10.75","10.5"
"firefox","Acer Aspire M5-581(G)","next","ubuntu","sample_5184×3456","WebP","79","84.25","13"
"firefox","Acer Aspire M5-581(G)","next","ubuntu","sample_1920%C3%971280","WebP","12.5","23.5","10"
"chrome","Acer Aspire M5-581(G)","react","ubuntu","sample_5184×3456","JPEG","10.600000000093132","9.649999999674037","9.125"
"chrome","Acer Aspire M5-581(G)","react","ubuntu","sample_1920%C3%971280","JPEG","15.125","9.774999999906868","11.674999999813735"
"chrome","Acer Aspire M5-581(G)","react","ubuntu","sample_5184×3456","WebP","11.49999999976717","12.399999999674037","12.649999999906868"
"chrome","Acer Aspire M5-581(G)","react","ubuntu","sample_1920%C3%971280","WebP","13.775000000372529","12.125","11.974999999860302"
"firefox","Acer Aspire M5-581(G)","react","ubuntu","sample_5184×3456","JPEG","337","34.25","21.5"
"firefox","Acer Aspire M5-581(G)","react","ubuntu","sample_1920%C3%971280","JPEG","29.75","25.75","33.25"
"firefox","Acer Aspire M5-581(G)","react","ubuntu","sample_5184×3456","WebP","217.25","287.25","84"
"firefox","Acer Aspire M5-581(G)","react","ubuntu","sample_1920%C3%971280","WebP","46","44.25","22"
"chrome","Acer Aspire M5-581(G)","remix","ubuntu","sample_5184×3456","JPEG","269.42500000004657","62.924999999813735","41.0250000001397"
"chrome","Acer Aspire M5-581(G)","remix","ubuntu","sample_1920%C3%971280","JPEG","259.125","43.85000000055879","31.899999999674037"
"chrome","Acer Aspire M5-581(G)","remix","ubuntu","sample_5184×3456","WebP","422.50000000023283","419.6999999997206","97.5999999998603"
