"browser","machine","framework","operatingSystem","name","mimeType","normalQualityAveragePageLoad","lowQualityAveragyPageLoad","veryLowQualityAveragePageLoad","normalQualityAverageVideoLoad","lowQualityAveragyVideoLoad","veryLowQualityAverageVideoLoad","normalQualityFailure","lowQualityFailure","veryLowQualityFailure"
"chrome","Acer Aspire M5-581(G)","astro","ubuntu","720p50_parkrun_ter","H265","240.25000000093132","131.9750000005588","276.39999999990687","56.55000000074506","31.475000000558794","84.84999999962747","true","true","true"
"chrome","Acer Aspire M5-581(G)","astro","ubuntu","Netflix_Aerial_4096x2160_60fps_8bit_420","H265","200.22499999962747","193.47500000009313","108.9750000005588","49.72500000009313","48.8249999997206","44.60000000009313","true","true","true"
"chrome","Acer Aspire M5-581(G)","astro","ubuntu","sintel_trailer_2k_1080p24_lowBitrate","H265","104.42499999981374","89.6750000002794","261.77500000037253","24.574999999720603","21.575000000186265","88.95000000018626","true","true","true"
"chrome","Acer Aspire M5-581(G)","astro","ubuntu","720p50_parkrun_ter","WebM","376.99999999953434","574.5249999994412","21.375","94.52500000037253","142.97500000009313","3.4250000002793968","false","false","false"
"chrome","Acer Aspire M5-581(G)","astro","ubuntu","Netflix_Aerial_4096x2160_60fps_8bit_420","WebM","510.6000000005588","128.29999999981374","77.625","127.75","29.600000000093132","17.799999999813735","false","false","false"
"chrome","Acer Aspire M5-581(G)","astro","ubuntu","sintel_trailer_2k_1080p24_lowBitrate","WebM","104.42499999981374","89.6750000002794","261.77500000037253","24.574999999720603","21.575000000186265","88.95000000018626","true","true","true"
"firefox","Acer Aspire M5-581(G)","astro","ubuntu","720p50_parkrun_ter","H265","163.5","143.75","48.5","54.75","50.5","15.25","true","true","true"
"firefox","Acer Aspire M5-581(G)","astro","ubuntu","Netflix_Aerial_4096x2160_60fps_8bit_420","H265","171.5","160","42.5","61","55.5","11.5","true","true","true"
"firefox","Acer Aspire M5-581(G)","astro","ubuntu","sintel_trailer_2k_1080p24_lowBitrate","H265","195.75","159.75","46.25","66","53.5","11.5","true","true","true"
"firefox","Acer Aspire M5-581(G)","astro","ubuntu","720p50_parkrun_ter","WebM","2905.5","990.25","12198.25","892","289.75","3041.25","false","false","false"
"firefox","Acer Aspire M5-581(G)","astro","ubuntu","Netflix_Aerial_4096x2160_60fps_8bit_420","WebM","8981.75","598.5","370","2920.75","236.75","115","false","false","false"
